City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Glamsbjerg,DK,65.64,broken clouds,55.2724,10.1048,Kulturhuset CulturArte
5,Kodiak,US,54.91,light rain,57.79,-152.4072,Best Western Kodiak Inn
8,Talnakh,RU,58.21,light rain,69.4865,88.3972,Talnakh Hotel
10,Puerto%20Ayora,EC,66.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Busselton,AU,54.95,overcast clouds,-33.65,115.3333,Observatory Guest House
21,Codrington,AU,50.09,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
24,Tuktoyaktuk,CA,55.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
25,Port%20Alfred,ZA,67.8,clear sky,-33.5906,26.891,The Halyards Hotel
26,East%20London,ZA,65.01,clear sky,-33.0153,27.9116,Tu Casa
28,Ambam,CM,68.25,light rain,2.3833,11.2833,Ambam Séjour
30,Iquique,CL,57.24,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
32,Yellowknife,CA,59.56,broken clouds,62.456,-114.3525,The Explorer Hotel
34,Castro,BR,50.34,clear sky,-24.7911,-50.0119,CHACARA BAILLY
36,Broome,US,68.7,few clouds,42.2506,-75.833,Chenango Valley State Park
37,Arys,KZ,68.11,clear sky,42.4252,68.795,Gostinitsa
38,Severo-Kurilsk,RU,55.99,light rain,50.6789,156.125,Kak Doma
39,Hermanus,ZA,60.8,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Port%20Lincoln,AU,56.61,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
43,Chuy,UY,54.66,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
44,Thompson,CA,57.36,clear sky,55.7435,-97.8558,Burntwood Hotel
48,Bredasdorp,ZA,59.05,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
51,Swan%20Hill,AU,52.07,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
55,Strai,NO,60.64,light intensity drizzle,58.2,7.9,Mosterøy
59,Shache,CN,69.71,scattered clouds,38.4167,77.2406,Delong Hotel
66,Esperance,AU,55.18,scattered clouds,-33.8667,121.9,Hospitality Esperance
67,Beloha,MG,64.33,clear sky,-25.1667,45.05,
68,Turtas,RU,61.34,overcast clouds,58.9417,69.1325,Domashnyaya Gostinitsa
71,Namibe,AO,61.02,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
74,Koboko,UG,60.35,broken clouds,3.4136,30.9599,Hotel Diplomat
78,Kisangani,CD,67.48,overcast clouds,0.5167,25.2,Grand Ramela Hotel
84,Gornopravdinsk,RU,61.95,clear sky,60.05,69.9,Hostel
86,Leh,IN,60.49,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
90,Port%20Elizabeth,ZA,62.31,clear sky,-33.918,25.5701,39 On Nile Guest House
91,Cidreira,BR,61.02,broken clouds,-30.1811,-50.2056,Hotel Castelo
94,Bondo,CD,65.55,overcast clouds,3.8146,23.6866,
96,Sembe,CG,68.09,light rain,1.6481,14.5806,
99,Kharp,RU,62.47,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
101,Wadi%20Maliz,TN,69.46,clear sky,36.4681,8.5495,Heremony
103,Mar%20Del%20Plata,AR,53.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
105,Inhambane,MZ,65.25,light rain,-23.865,35.3833,Oceano
107,Dauriya,RU,66.24,overcast clouds,49.9333,116.8667,
110,Kang,BW,50.92,clear sky,-23.6752,22.7876,Kang Ultra Stop
111,Tazovskiy,RU,57.65,overcast clouds,67.4667,78.7,TazHostel
112,Lasa,IT,51.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
113,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
114,The%20Pas,CA,68.02,scattered clouds,53.8251,-101.2541,Wescana Inn
115,Chapais,CA,64.18,broken clouds,49.7834,-74.8492,Hôtel Opémiska
116,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
117,Jamestown,US,69.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
118,Vangaindrano,MG,64.83,light rain,-23.35,47.6,Hotel Fanilo
